airline,from,to,day,month,year,duration,age,gender,reason,stay,transit,connection,wait,ticket,checked_bags,carry_on
American Airlines,GDL,SJC,25,8,2015,724,59,male,On vacation/Pleasure,Short-term homestay,,True,397,Business,0,True
Delta Airlines,SJC,GDL,15,11,2022,984,61,undisclosed,Back Home,Home,Car rental,False,0,First Class,1,False
Alaska,JFK,PDX,10,1,2021,846,6,female,Business/Work,Home,,True,311,Business,1,False
Alaska,PDX,GDL,11,9,2022,686,54,undisclosed,Business/Work,Hotel,,True,54,Economy,2,False
American Airlines,JFK,GDL,2,7,2014,873,13,male,Back Home,Home,Mobility as a service,False,0,Business,1,False
Aeromexico,JFK,SJC,21,1,2015,819,53,male,On vacation/Pleasure,Hotel,,True,164,Economy,3,False
Delta Airlines,LAX,PDX,5,3,2016,250,70,unspecified,On vacation/Pleasure,Home,Mobility as a service,False,0,Economy,0,False
Alaska,LAX,GDL,4,9,2014,243,15,unspecified,Back Home,Home,Public Transportation,False,0,First Class,1,True
American Airlines,LAX,PDX,16,2,2023,854,76,female,On vacation/Pleasure,Home,Public Transportation,False,0,Economy,2,False
Volaris,PDX,JFK,9,3,2014,968,25,unspecified,Back Home,Home,Own car,False,0,First Class,1,True
American Airlines,SJC,JFK,11,7,2022,957,39,female,On vacation/Pleasure,Friend/Family,,True,86,Economy,0,True
Alaska,PDX,LAX,15,6,2018,754,54,unspecified,On vacation/Pleasure,Home,Public Transportation,False,0,Economy,2,True
Aeromexico,JFK,LAX,31,8,2021,946,55,undisclosed,Business/Work,Short-term homestay,,True,180,Economy,1,False
Delta Airlines,JFK,PDX,9,9,2017,126,31,unspecified,Business/Work,Hotel,Car rental,False,0,Economy,2,True
Aeromexico,JFK,LAX,23,3,2020,751,26,male,On vacation/Pleasure,Short-term homestay,Own car,False,0,Business,3,True
Aeromexico,GDL,SJC,28,11,2019,871,56,unspecified,Back Home,Home,Public Transportation,False,0,Business,1,True
Delta Airlines,SJC,JFK,18,7,2020,604,82,female,Back Home,Home,Mobility as a service,False,0,Business,2,False
American Airlines,GDL,JFK,16,12,2017,424,74,undisclosed,Back Home,Home,Mobility as a service,False,0,First Class,1,False
Delta Airlines,GDL,SJC,16,4,2013,582,25,male,Back Home,Home,Airport cab,False,0,Economy,1,False
Delta Airlines,GDL,SJC,18,3,2023,35,33,unspecified,Back Home,Home,Pickup,False,0,Economy,2,False
Aeromexico,SJC,JFK,24,4,2019,365,50,unspecified,Back Home,Home,Mobility as a service,False,0,First Class,0,True
Alaska,PDX,LAX,21,4,2019,810,62,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0,Economy,0,False
Delta Airlines,PDX,GDL,13,2,2019,199,17,undisclosed,Business/Work,Friend/Family,Airport cab,False,0,Business,2,False
Aeromexico,GDL,JFK,17,6,2021,33,24,male,On vacation/Pleasure,Hotel,Own car,False,0,First Class,1,True
Alaska,GDL,PDX,17,11,2016,409,52,unspecified,Back Home,Home,Airport cab,False,0,Business,0,False
Volaris,LAX,JFK,22,5,2013,287,35,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0,First Class,1,False
Volaris,SJC,JFK,15,8,2017,958,64,female,On vacation/Pleasure,Short-term homestay,,True,462,First Class,0,True
Aeromexico,PDX,SJC,7,11,2018,955,52,unspecified,Back Home,Home,Pickup,False,0,Economy,3,False
Alaska,PDX,JFK,26,3,2022,583,27,undisclosed,On vacation/Pleasure,Home,,True,224,Business,2,False
Volaris,SJC,PDX,20,7,2020,400,33,female,Back Home,Home,Own car,False,0,First Class,0,False
Alaska,GDL,LAX,14,12,2015,30,82,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0,Economy,1,False
American Airlines,PDX,JFK,3,2,2017,327,31,undisclosed,On vacation/Pleasure,Home,,True,486,Economy,3,False
Volaris,SJC,GDL,11,8,2014,874,32,female,Back Home,Home,Pickup,False,0,First Class,2,False
Aeromexico,GDL,PDX,28,6,2016,209,67,unspecified,Business/Work,Friend/Family,Car rental,False,0,Business,0,True
Alaska,LAX,PDX,1,3,2020,390,26,unspecified,Business/Work,Friend/Family,,True,103,Business,1,True
Aeromexico,JFK,SJC,21,3,2013,212,57,unspecified,Business/Work,Friend/Family,,True,414,Business,1,True
Volaris,LAX,PDX,26,8,2022,57,64,undisclosed,Business/Work,Hotel,,True,286,Business,3,False
Delta Airlines,SJC,PDX,1,3,2023,861,42,unspecified,Back Home,Home,Airport cab,False,0,Economy,3,False
Alaska,PDX,LAX,31,1,2016,350,61,undisclosed,Back Home,Home,Car rental,False,0,Economy,1,True
Volaris,JFK,LAX,7,4,2014,92,88,female,Business/Work,Short-term homestay,,True,582,First Class,1,False
Aeromexico,GDL,PDX,2,11,2015,684,10,male,Business/Work,Home,Airport cab,False,0,Economy,3,True
Aeromexico,SJC,PDX,2,2,2014,242,87,male,Back Home,Home,Public Transportation,False,0,Economy,1,True
Delta Airlines,PDX,SJC,14,12,2014,900,43,female,Business/Work,Short-term homestay,,True,209,First Class,1,True
American Airlines,GDL,JFK,29,10,2022,396,21,undisclosed,Business/Work,Hotel,,True,83,Economy,0,False
Aeromexico,PDX,LAX,1,4,2020,540,28,male,Business/Work,Hotel,,True,295,First Class,2,True
Alaska,LAX,SJC,14,9,2014,711,68,female,On vacation/Pleasure,Short-term homestay,,True,51,First Class,1,True
Volaris,GDL,SJC,2,3,2015,477,5,male,Back Home,Home,Pickup,False,0,First Class,0,False
Alaska,JFK,SJC,7,2,2018,843,85,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,2,True
Alaska,JFK,SJC,29,11,2017,73,41,male,Business/Work,Hotel,,True,617,Business,2,True
Alaska,JFK,PDX,21,7,2019,707,52,unspecified,On vacation/Pleasure,Home,Car rental,False,0,First Class,0,False
Delta Airlines,GDL,JFK,29,12,2014,801,50,unspecified,On vacation/Pleasure,Hotel,Own car,False,0,Business,3,False
Aeromexico,LAX,GDL,26,11,2017,911,14,undisclosed,On vacation/Pleasure,Friend/Family,,True,213,Business,2,True
Alaska,SJC,JFK,7,6,2022,119,10,unspecified,Back Home,Home,Airport cab,False,0,First Class,1,False
Aeromexico,SJC,PDX,13,10,2022,181,12,male,Back Home,Home,Airport cab,False,0,Economy,0,False
Volaris,GDL,JFK,6,7,2018,189,14,male,Back Home,Home,Pickup,False,0,Economy,0,True
Alaska,GDL,SJC,31,7,2022,473,3,undisclosed,Back Home,Home,Car rental,False,0,Economy,2,False
Volaris,GDL,JFK,16,8,2013,158,75,male,Back Home,Home,Pickup,False,0,Business,0,True
Aeromexico,LAX,PDX,22,10,2016,36,20,undisclosed,Business/Work,Hotel,Mobility as a service,False,0,Business,2,True
Aeromexico,JFK,PDX,31,12,2019,397,64,undisclosed,On vacation/Pleasure,Home,Own car,False,0,First Class,3,True
American Airlines,LAX,GDL,9,5,2015,470,10,male,On vacation/Pleasure,Short-term homestay,Pickup,False,0,Business,2,False
Volaris,SJC,LAX,18,7,2020,662,60,female,Business/Work,Home,Airport cab,False,0,First Class,0,True
Volaris,LAX,GDL,23,9,2022,167,62,undisclosed,Business/Work,Friend/Family,Pickup,False,0,Business,3,False
Alaska,SJC,PDX,26,12,2013,148,63,female,Business/Work,Short-term homestay,Pickup,False,0,First Class,3,False
Volaris,PDX,LAX,26,1,2013,505,4,female,Back Home,Home,Own car,False,0,First Class,2,True
Alaska,GDL,SJC,13,1,2013,243,67,female,On vacation/Pleasure,Hotel,,True,219,First Class,3,True
Alaska,LAX,GDL,19,11,2018,359,58,female,Back Home,Home,Airport cab,False,0,Economy,3,False
Aeromexico,PDX,JFK,13,5,2018,49,12,undisclosed,On vacation/Pleasure,Hotel,,True,116,First Class,0,True
Alaska,GDL,SJC,24,11,2014,326,5,undisclosed,Business/Work,Short-term homestay,,True,281,Business,3,False
Alaska,LAX,PDX,18,7,2016,66,69,male,Business/Work,Hotel,,True,415,Economy,0,False
Aeromexico,JFK,SJC,11,2,2014,462,20,male,On vacation/Pleasure,Friend/Family,Car rental,False,0,First Class,3,True
American Airlines,JFK,SJC,14,2,2013,908,71,female,Back Home,Home,Public Transportation,False,0,Business,3,False
American Airlines,PDX,LAX,6,2,2021,211,4,undisclosed,On vacation/Pleasure,Friend/Family,,True,156,Economy,3,False
Alaska,JFK,SJC,2,3,2022,576,17,undisclosed,Back Home,Home,Airport cab,False,0,Economy,2,True
Alaska,LAX,JFK,27,9,2018,68,75,unspecified,Business/Work,Short-term homestay,Car rental,False,0,Economy,3,True
Volaris,GDL,SJC,8,10,2018,43,83,female,Back Home,Home,Pickup,False,0,Business,1,False
American Airlines,LAX,GDL,23,7,2019,27,3,unspecified,Back Home,Home,Pickup,False,0,Economy,1,True
Alaska,JFK,GDL,3,3,2019,488,5,female,Business/Work,Friend/Family,,True,108,Business,1,True
Volaris,JFK,PDX,31,8,2021,794,70,undisclosed,Back Home,Home,Pickup,False,0,Business,1,True
Volaris,JFK,GDL,26,1,2017,654,1,unspecified,Back Home,Home,Public Transportation,False,0,First Class,2,False
Alaska,PDX,GDL,10,8,2013,785,81,undisclosed,Business/Work,Home,,True,381,Business,3,True
American Airlines,SJC,PDX,25,7,2019,875,86,undisclosed,Back Home,Home,Own car,False,0,Business,1,False
Aeromexico,LAX,SJC,4,11,2016,305,52,female,Business/Work,Home,,True,412,First Class,1,True
Volaris,GDL,JFK,16,7,2019,821,28,male,Business/Work,Hotel,,True,602,Business,2,False
American Airlines,GDL,LAX,23,4,2014,722,90,female,On vacation/Pleasure,Short-term homestay,Car rental,False,0,First Class,1,False
American Airlines,SJC,JFK,12,6,2018,579,85,undisclosed,On vacation/Pleasure,Short-term homestay,,True,133,Business,1,True
Delta Airlines,PDX,JFK,21,6,2019,776,62,unspecified,Back Home,Home,Own car,False,0,First Class,2,True
Aeromexico,SJC,PDX,20,6,2018,400,70,unspecified,Back Home,Home,Public Transportation,False,0,Economy,1,True
American Airlines,SJC,LAX,14,9,2017,702,10,unspecified,On vacation/Pleasure,Friend/Family,,True,467,Business,1,False
Aeromexico,SJC,GDL,10,8,2014,98,59,undisclosed,Business/Work,Friend/Family,,True,152,Economy,2,False
American Airlines,PDX,JFK,31,3,2014,745,87,unspecified,Business/Work,Home,,True,259,First Class,2,False
American Airlines,GDL,LAX,25,8,2020,737,64,female,On vacation/Pleasure,Short-term homestay,,True,694,Business,0,True
American Airlines,LAX,GDL,17,11,2016,790,57,female,On vacation/Pleasure,Short-term homestay,,True,211,Business,0,False
American Airlines,LAX,PDX,7,7,2015,276,50,male,Business/Work,Short-term homestay,Own car,False,0,Economy,3,False
Alaska,JFK,LAX,7,4,2015,351,81,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,1,True
Alaska,JFK,PDX,5,12,2014,118,87,unspecified,Back Home,Home,Pickup,False,0,Business,3,True
Volaris,SJC,JFK,3,6,2016,777,41,unspecified,Business/Work,Hotel,,True,216,Economy,3,True
Delta Airlines,GDL,JFK,6,10,2020,512,64,undisclosed,On vacation/Pleasure,Home,Pickup,False,0,Economy,0,True
Volaris,JFK,PDX,12,1,2020,214,70,female,Back Home,Home,Airport cab,False,0,Business,3,False
Delta Airlines,GDL,LAX,20,1,2015,247,5,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0,First Class,1,False
Aeromexico,JFK,GDL,11,7,2018,387,81,male,Business/Work,Hotel,Airport cab,False,0,Business,0,False
Volaris,LAX,GDL,16,7,2014,534,51,male,Business/Work,Friend/Family,Mobility as a service,False,0,Business,3,True
Volaris,LAX,GDL,22,2,2016,512,24,male,Business/Work,Home,Public Transportation,False,0,Economy,3,True
American Airlines,PDX,JFK,29,3,2016,845,41,unspecified,On vacation/Pleasure,Home,,True,472,Economy,2,True
Volaris,PDX,SJC,23,2,2015,529,21,female,On vacation/Pleasure,Short-term homestay,,True,292,Business,1,True
American Airlines,GDL,JFK,1,4,2017,937,66,male,On vacation/Pleasure,Hotel,,True,157,Business,3,True
Alaska,PDX,SJC,13,5,2018,680,57,male,Back Home,Home,Airport cab,False,0,Economy,2,True
Alaska,LAX,SJC,16,2,2022,657,66,unspecified,On vacation/Pleasure,Friend/Family,Own car,False,0,First Class,3,False
Alaska,SJC,JFK,17,7,2018,720,46,female,Back Home,Home,Car rental,False,0,First Class,2,False
Aeromexico,SJC,GDL,28,6,2021,109,56,unspecified,Back Home,Home,Pickup,False,0,First Class,0,False
Delta Airlines,SJC,JFK,26,10,2022,479,48,undisclosed,Back Home,Home,Pickup,False,0,First Class,3,False
Volaris,GDL,PDX,5,1,2013,273,48,male,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0,Business,1,False
Delta Airlines,PDX,SJC,31,3,2022,31,38,female,Back Home,Home,Mobility as a service,False,0,Economy,0,False
Delta Airlines,PDX,SJC,4,5,2013,864,28,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0,Business,1,False
Aeromexico,JFK,GDL,10,9,2013,989,88,female,Business/Work,Home,,True,600,Business,0,True
Aeromexico,PDX,SJC,13,1,2015,555,53,unspecified,Business/Work,Hotel,Own car,False,0,Business,2,False
Aeromexico,PDX,SJC,5,11,2013,271,53,female,Business/Work,Home,,True,394,First Class,2,True
American Airlines,GDL,PDX,25,11,2014,501,79,undisclosed,On vacation/Pleasure,Friend/Family,Public Transportation,False,0,Business,0,True
American Airlines,JFK,SJC,8,10,2018,677,17,male,On vacation/Pleasure,Friend/Family,Airport cab,False,0,Economy,0,True
Alaska,SJC,JFK,31,12,2020,136,43,male,On vacation/Pleasure,Short-term homestay,Car rental,False,0,Business,0,True
Volaris,LAX,SJC,8,6,2013,966,60,female,Business/Work,Home,Mobility as a service,False,0,First Class,1,True
Aeromexico,SJC,JFK,9,9,2017,556,7,male,On vacation/Pleasure,Hotel,Pickup,False,0,Economy,3,False
Alaska,JFK,LAX,26,5,2013,497,44,female,Business/Work,Hotel,Pickup,False,0,Economy,1,True
Alaska,SJC,JFK,8,2,2014,485,4,undisclosed,Business/Work,Short-term homestay,,True,210,First Class,0,True
Volaris,LAX,GDL,22,9,2018,37,13,unspecified,Business/Work,Friend/Family,,True,648,Business,1,True
Aeromexico,GDL,SJC,18,8,2021,822,16,female,Back Home,Home,Public Transportation,False,0,Economy,0,True
American Airlines,PDX,GDL,1,1,2018,207,36,male,On vacation/Pleasure,Hotel,,True,523,Economy,3,True
Volaris,SJC,LAX,1,12,2015,976,52,unspecified,Back Home,Home,Own car,False,0,Business,1,False
American Airlines,LAX,GDL,18,8,2018,935,89,unspecified,Back Home,Home,Own car,False,0,Business,2,True
Alaska,LAX,SJC,4,4,2021,65,81,male,Business/Work,Friend/Family,,True,407,Business,2,False
American Airlines,PDX,JFK,2,12,2015,444,2,undisclosed,Back Home,Home,Airport cab,False,0,Economy,1,True
Volaris,LAX,JFK,23,11,2014,910,72,unspecified,Business/Work,Hotel,,True,44,Business,0,False
Delta Airlines,JFK,SJC,19,11,2018,261,82,undisclosed,Back Home,Home,Public Transportation,False,0,First Class,3,False
Volaris,LAX,GDL,18,8,2016,580,9,female,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,Business,0,False
Volaris,LAX,SJC,9,1,2022,170,55,male,Business/Work,Hotel,,True,153,Economy,0,False
Aeromexico,JFK,GDL,13,7,2022,809,10,undisclosed,On vacation/Pleasure,Friend/Family,Public Transportation,False,0,First Class,3,False
American Airlines,JFK,GDL,13,7,2013,427,47,unspecified,Back Home,Home,Mobility as a service,False,0,First Class,0,True
American Airlines,JFK,SJC,30,1,2023,799,25,undisclosed,Business/Work,Friend/Family,Own car,False,0,Business,0,False
Volaris,PDX,JFK,14,3,2023,337,50,undisclosed,Business/Work,Hotel,,True,106,First Class,1,False
Delta Airlines,PDX,LAX,21,5,2013,883,33,undisclosed,Business/Work,Hotel,,True,153,Business,3,True
Volaris,PDX,JFK,13,6,2013,93,1,undisclosed,Back Home,Home,Mobility as a service,False,0,Economy,0,False
Aeromexico,PDX,GDL,11,10,2019,605,6,undisclosed,Business/Work,Short-term homestay,,True,671,First Class,0,True
Alaska,PDX,JFK,14,2,2021,940,22,female,Business/Work,Hotel,,True,424,Economy,1,True
Aeromexico,LAX,GDL,18,4,2015,467,36,female,Business/Work,Home,,True,595,Economy,2,True
Volaris,PDX,SJC,23,2,2021,943,54,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,0,True
American Airlines,PDX,SJC,18,10,2019,488,56,unspecified,On vacation/Pleasure,Home,Car rental,False,0,First Class,0,True
Volaris,JFK,PDX,5,10,2017,73,29,male,Business/Work,Friend/Family,Mobility as a service,False,0,Economy,2,True
Delta Airlines,SJC,LAX,20,4,2016,863,49,male,Business/Work,Hotel,,True,579,First Class,3,True
American Airlines,SJC,LAX,18,5,2018,409,57,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0,Business,3,False
Aeromexico,PDX,JFK,6,6,2015,717,70,undisclosed,Back Home,Home,Airport cab,False,0,Business,3,False
Alaska,JFK,GDL,27,7,2017,89,5,female,Back Home,Home,Airport cab,False,0,Business,2,True
Alaska,GDL,JFK,20,2,2013,113,54,unspecified,Business/Work,Short-term homestay,Pickup,False,0,First Class,1,False
Aeromexico,GDL,SJC,18,8,2019,773,51,female,On vacation/Pleasure,Friend/Family,,True,280,Business,3,True
Volaris,PDX,JFK,4,9,2020,867,65,female,Business/Work,Home,Mobility as a service,False,0,Business,1,True
Alaska,GDL,SJC,13,1,2017,601,68,male,Business/Work,Short-term homestay,Pickup,False,0,Economy,0,True
Volaris,LAX,PDX,4,8,2018,312,77,undisclosed,On vacation/Pleasure,Friend/Family,,True,232,Economy,3,False
American Airlines,SJC,PDX,15,5,2022,680,68,undisclosed,Back Home,Home,Own car,False,0,Economy,2,True
Alaska,PDX,JFK,8,12,2015,867,50,unspecified,Back Home,Home,Public Transportation,False,0,First Class,0,False
Aeromexico,PDX,SJC,15,10,2017,538,62,unspecified,On vacation/Pleasure,Home,,True,89,First Class,1,True
Delta Airlines,GDL,LAX,8,5,2013,333,39,male,Business/Work,Friend/Family,,True,98,Business,2,False
Aeromexico,SJC,LAX,14,5,2014,526,19,male,On vacation/Pleasure,Home,,True,335,First Class,0,True
Volaris,PDX,LAX,25,5,2020,267,76,female,On vacation/Pleasure,Hotel,Mobility as a service,False,0,Business,2,True
Delta Airlines,GDL,SJC,13,5,2015,671,33,unspecified,Back Home,Home,Car rental,False,0,Economy,0,True
Alaska,JFK,GDL,28,7,2014,354,15,male,On vacation/Pleasure,Home,Mobility as a service,False,0,First Class,2,True
Volaris,PDX,SJC,10,10,2019,338,37,female,Business/Work,Home,,True,238,First Class,3,False
Volaris,SJC,GDL,13,10,2015,951,50,female,On vacation/Pleasure,Home,,True,222,Business,1,False
American Airlines,SJC,LAX,7,2,2016,401,59,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,First Class,2,False
Volaris,JFK,SJC,27,11,2017,659,56,female,Business/Work,Friend/Family,Pickup,False,0,First Class,0,True
Delta Airlines,SJC,JFK,16,1,2020,336,81,male,Back Home,Home,Public Transportation,False,0,First Class,0,True
Aeromexico,SJC,JFK,30,1,2022,741,10,male,Business/Work,Friend/Family,,True,132,Economy,0,True
Volaris,GDL,LAX,15,11,2015,908,41,unspecified,Business/Work,Home,,True,81,Economy,2,False
American Airlines,SJC,JFK,23,7,2021,676,49,unspecified,Back Home,Home,Pickup,False,0,Economy,3,False
American Airlines,PDX,GDL,16,3,2015,681,69,male,On vacation/Pleasure,Hotel,,True,419,Business,0,True
Aeromexico,GDL,LAX,9,5,2013,281,90,male,Back Home,Home,Airport cab,False,0,Business,1,False
Alaska,GDL,JFK,23,11,2018,870,63,unspecified,Back Home,Home,Car rental,False,0,First Class,1,True
Volaris,JFK,PDX,10,7,2015,508,50,undisclosed,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0,First Class,1,True
Aeromexico,PDX,LAX,22,9,2015,202,9,unspecified,Back Home,Home,Airport cab,False,0,Business,1,False
Aeromexico,JFK,GDL,1,9,2013,690,18,unspecified,Back Home,Home,Public Transportation,False,0,Business,0,False
Volaris,SJC,GDL,17,8,2017,72,11,male,Back Home,Home,Airport cab,False,0,Business,1,False
American Airlines,JFK,LAX,19,10,2019,350,62,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0,Business,0,True
Delta Airlines,GDL,JFK,2,12,2017,992,47,male,Back Home,Home,Mobility as a service,False,0,Business,3,False
Delta Airlines,PDX,GDL,23,8,2021,283,64,unspecified,On vacation/Pleasure,Hotel,Airport cab,False,0,First Class,1,False
Alaska,SJC,LAX,25,11,2020,531,57,male,On vacation/Pleasure,Hotel,,True,308,Business,2,False
Aeromexico,PDX,JFK,30,3,2023,241,37,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0,First Class,2,False
Alaska,GDL,JFK,3,7,2013,991,6,undisclosed,Business/Work,Home,,True,313,First Class,2,False
American Airlines,SJC,JFK,10,4,2022,741,13,male,On vacation/Pleasure,Friend/Family,,True,346,Business,3,False
American Airlines,SJC,LAX,22,12,2014,662,19,unspecified,Back Home,Home,Public Transportation,False,0,Economy,1,True
Delta Airlines,GDL,LAX,30,9,2020,674,46,male,Business/Work,Friend/Family,Car rental,False,0,Business,0,True
Alaska,PDX,SJC,22,8,2016,641,76,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,3,False
Volaris,JFK,PDX,2,9,2014,722,59,female,Business/Work,Hotel,Public Transportation,False,0,Business,0,True
Alaska,SJC,JFK,18,2,2016,768,8,unspecified,Back Home,Home,Mobility as a service,False,0,Business,1,False
Delta Airlines,SJC,GDL,2,5,2017,673,74,female,Back Home,Home,Car rental,False,0,First Class,0,False
Volaris,SJC,GDL,15,12,2021,929,51,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0,Business,1,True
Delta Airlines,LAX,PDX,21,3,2021,235,10,unspecified,Business/Work,Hotel,,True,52,Business,3,True
Aeromexico,LAX,SJC,24,12,2020,699,86,female,Back Home,Home,Airport cab,False,0,First Class,0,False
American Airlines,JFK,PDX,19,2,2018,976,32,male,Back Home,Home,Mobility as a service,False,0,First Class,0,True
Volaris,GDL,SJC,8,12,2015,431,18,undisclosed,Back Home,Home,Public Transportation,False,0,Economy,0,True
Volaris,GDL,JFK,5,2,2017,287,8,undisclosed,Business/Work,Hotel,Pickup,False,0,Economy,3,True
Alaska,JFK,LAX,4,4,2017,775,53,female,Business/Work,Short-term homestay,,True,322,Business,2,True
Volaris,LAX,GDL,6,12,2013,975,83,male,Business/Work,Short-term homestay,,True,572,Economy,1,False
Aeromexico,LAX,GDL,26,1,2023,255,18,undisclosed,Business/Work,Hotel,,True,489,Business,2,True
Alaska,JFK,LAX,2,6,2016,247,22,unspecified,Business/Work,Home,Airport cab,False,0,First Class,3,True
Volaris,GDL,SJC,2,2,2017,32,80,unspecified,Business/Work,Friend/Family,Mobility as a service,False,0,Business,0,False
Volaris,GDL,PDX,13,9,2015,805,5,female,On vacation/Pleasure,Hotel,Car rental,False,0,Business,1,True
Volaris,JFK,LAX,8,10,2020,368,52,female,Business/Work,Hotel,,True,585,First Class,0,False
Volaris,SJC,PDX,10,4,2015,113,48,unspecified,Back Home,Home,Pickup,False,0,First Class,2,True
Delta Airlines,SJC,JFK,29,5,2016,339,85,male,Back Home,Home,Pickup,False,0,Business,0,False
Alaska,LAX,GDL,20,8,2013,162,81,unspecified,Business/Work,Home,,True,345,Economy,2,True
American Airlines,GDL,LAX,11,4,2022,401,55,male,On vacation/Pleasure,Friend/Family,Own car,False,0,First Class,2,False
American Airlines,PDX,JFK,21,11,2015,197,15,male,Back Home,Home,Airport cab,False,0,Economy,0,True
Delta Airlines,SJC,LAX,26,8,2014,836,2,female,On vacation/Pleasure,Hotel,,True,413,First Class,1,True
Volaris,GDL,SJC,20,1,2014,28,44,female,On vacation/Pleasure,Home,,True,465,Economy,0,True
American Airlines,PDX,LAX,11,12,2015,374,25,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,Economy,1,True
Volaris,LAX,JFK,20,8,2014,945,79,male,Back Home,Home,Own car,False,0,First Class,3,False
Aeromexico,GDL,SJC,1,10,2020,766,54,undisclosed,Back Home,Home,Own car,False,0,Business,2,True
Volaris,SJC,LAX,28,11,2015,421,53,female,Business/Work,Home,,True,227,First Class,1,False
American Airlines,LAX,GDL,1,6,2021,849,30,female,On vacation/Pleasure,Friend/Family,,True,404,First Class,1,True
Alaska,SJC,LAX,12,8,2018,387,34,female,Business/Work,Short-term homestay,,True,348,Economy,0,False
Alaska,SJC,JFK,12,11,2017,79,57,female,Back Home,Home,Public Transportation,False,0,Business,0,False
Aeromexico,GDL,JFK,17,6,2020,194,9,undisclosed,Business/Work,Short-term homestay,,True,620,First Class,3,True
American Airlines,JFK,PDX,19,3,2017,321,61,female,On vacation/Pleasure,Short-term homestay,,True,447,Economy,0,False
Alaska,GDL,SJC,9,5,2019,36,42,male,Back Home,Home,Mobility as a service,False,0,Business,0,True
Volaris,JFK,PDX,12,1,2017,889,19,undisclosed,Back Home,Home,Pickup,False,0,Economy,2,False
Delta Airlines,LAX,JFK,25,9,2016,705,50,unspecified,On vacation/Pleasure,Friend/Family,,True,464,Business,3,False
